date,high temp,low temp,solarRad
20190101,61.3,41.7,221.6
20190102,62.1,43.2,223.7
20190103,67.6,45.0,230.6
20190104,65.3,47.5,228.9
20190105,55.0,47.3,117.8
20190106,61.0,48.0,266.7
20190107,59.9,49.3,266.9
20190108,69.8,50.9,257.0
20190109,68.4,49.6,230.4
20190110,65.5,49.3,236.1
20190111,62.1,47.8,253.4
20190112,58.8,48.4,324.8
20190113,61.7,45.0,196.5
20190114,55.2,49.1,138.0
20190115,56.8,50.2,192.2
20190116,60.4,52.9,200.5
20190117,61.2,54.1,111.9
20190118,64.0,53.2,300.1
20190119,77.5,53.8,277.8
20190120,74.1,53.8,310.9
20190121,62.4,49.3,259.1
20190122,66.7,47.8,325.4
20190123,69.4,49.1,279.3
20190124,76.6,52.9,298.1
20190125,77.0,54.0,295.5
20190126,76.8,58.3,284.5
20190127,77.5,59.4,292.9
20190128,74.5,55.2,350.4
20190129,72.9,54.9,341.7
20190130,67.8,53.1,273.4
20190131,56.1,50.9,291.6
20190201,61.0,48.4,385.9
20190202,55.8,50.4,101.6
20190203,55.8,50.2,338.9
20190204,55.9,48.0,417.1
20190205,54.7,40.3,408.3
20190206,58.8,37.4,302.5
20190207,60.6,40.6,304.0
20190208,61.3,43.0,310.1
20190209,58.8,43.7,439.7
20190210,54.7,43.2,425.4
20190211,60.4,39.9,326.9
20190212,66.2,43.5,316.8
20190213,57.4,48.4,309.3
20190214,62.2,50.4,402.9
20190215,58.8,48.0,428.2
20190216,61.2,41.0,361.4
20190217,55.8,41.7,422.3
20190218,59.9,38.3,418.2
20190219,60.3,41.2,357.6
20190220,53.1,41.9,420.6
20190221,60.1,40.1,455.4
20190222,61.7,40.8,373.7
20190223,62.6,42.1,378.9
20190224,67.6,44.8,393.8
20190225,67.1,47.8,386.5
20190226,65.3,47.7,436.0
20190227,65.5,49.5,533.4
20190228,66.7,52.9,483.1
20190301,64.6,54.0,402.0
20190302,60.4,53.6,442.0
20190303,62.8,53.2,581.4
20190304,64.0,50.2,494.7
20190305,66.9,48.2,532.9
20190306,57.9,50.9,194.2
20190307,61.0,47.7,519.6
20190308,61.0,44.1,546.3
20190310,60.8,44.8,528.9
20190310,46.4,45.7,0.0
20190310,46.4,45.7,0.0
20190311,48.6,47.5,0.0
20190311,68.5,45.5,509.6
20190312,71.4,50.2,496.9
20190313,70.9,47.8,433.4
20190314,71.1,49.6,433.4
20190315,76.6,51.3,453.9
20190316,80.6,60.4,460.8
20190317,83.3,59.0,468.9
20190318,77.9,55.6,455.9
20190319,66.6,54.7,460.4
20190320,61.9,49.6,554.0
20190321,60.1,47.8,546.5
20190322,67.8,46.0,457.2
20190323,64.9,50.9,536.4
